SITE_ID,DATE,SP_CODE,VALUE
MOHK_1,2004,BR,1.55
MOHK_1,2004,BRA,0
MOHK_1,2004,CAL,0
MOHK_1,2004,CC,12.675
MOHK_1,2004,CF,0.875
MOHK_1,2004,CG,0
MOHK_1,2004,CO,15.975
MOHK_1,2004,COF,0
MOHK_1,2004,CP,0
MOHK_1,2004,CRYP,0
MOHK_1,2004,CYOS,29.98675
MOHK_1,2004,CZ,0
MOHK_1,2004,DL,0
MOHK_1,2004,DP,0
MOHK_1,2004,DU,0
MOHK_1,2004,EA,0
MOHK_1,2004,EC,0.825
MOHK_1,2004,EGME,0
MOHK_1,2004,ER,0
MOHK_1,2004,FB,0
MOHK_1,2004,FG,0
MOHK_1,2004,FR,0
MOHK_1,2004,FTHR,0
MOHK_1,2004,GR,0
MOHK_1,2004,GS,0
MOHK_1,2004,GYSP,0
MOHK_1,2004,HAGL,0
MOHK_1,2004,IR,0
MOHK_1,2004,LAFA,0.47075
MOHK_1,2004,LI,0
MOHK_1,2004,LS,0
MOHK_1,2004,LX,0
MOHK_1,2004,NANDERSON,0
MOHK_1,2004,NEO,0
MOHK_1,2004,PHSE,0
MOHK_1,2004,PL,0
MOHK_1,2004,POLA,0
MOHK_1,2004,PRSP,0
MOHK_1,2004,PTCA,34.695875
MOHK_1,2004,R,18.3
MOHK_1,2004,RAT,5.025
MOHK_1,2004,SAFU,0
MOHK_1,2004,SAHO,0
MOHK_1,2004,SAMU,0
MOHK_1,2004,SCCA,0
MOHK_1,2004,STIN,0
MOHK_1,2004,TALE,0
MOHK_1,2004,UV,0
MOHK_2,2004,AMZO,0
MOHK_2,2004,AU,0
MOHK_2,2004,BF,0
MOHK_2,2004,BO,0
MOHK_2,2004,BR,4.65
MOHK_2,2004,BRA,0
MOHK_2,2004,CAL,0
MOHK_2,2004,CC,8.45
MOHK_2,2004,CF,0
MOHK_2,2004,CG,0
MOHK_2,2004,CO,18.6375
MOHK_2,2004,COF,0
MOHK_2,2004,CP,0
MOHK_2,2004,CRYP,0
MOHK_2,2004,CYOS,15.6695
MOHK_2,2004,CZ,0
MOHK_2,2004,DL,0
MOHK_2,2004,DP,0
MOHK_2,2004,DU,0
MOHK_2,2004,EA,0
MOHK_2,2004,EC,0.4125
MOHK_2,2004,EGME,4.79775
MOHK_2,2004,ER,0
MOHK_2,2004,FB,0
MOHK_2,2004,FG,0
MOHK_2,2004,FR,0
MOHK_2,2004,FTHR,0
MOHK_2,2004,GR,0
MOHK_2,2004,GS,16.875
MOHK_2,2004,GYSP,0
MOHK_2,2004,HAGL,0
MOHK_2,2004,IR,0
MOHK_2,2004,LAFA,0
MOHK_2,2004,LI,0
MOHK_2,2004,LS,0
MOHK_2,2004,LX,0
MOHK_2,2004,NANDERSON,0
MOHK_2,2004,NEO,0
MOHK_2,2004,PHSE,0
MOHK_2,2004,PL,0
MOHK_2,2004,POLA,0
MOHK_2,2004,PRSP,0
MOHK_2,2004,PTCA,15.33275
MOHK_2,2004,R,61
MOHK_2,2004,RAT,5.8625
MOHK_2,2004,SAFU,0
MOHK_2,2004,SAHO,0
MOHK_2,2004,SAMU,0
MOHK_2,2004,SCCA,5.625
MOHK_2,2004,STIN,0
MOHK_2,2004,TALE,0
MOHK_2,2004,UV,0
AQUE_1,2004,AMZO,0
AQUE_1,2004,AU,0
AQUE_1,2004,BF,0
AQUE_1,2004,BO,0
AQUE_1,2004,BR,6.2
AQUE_1,2004,BRA,0
AQUE_1,2004,CAL,0
AQUE_1,2004,CC,0
AQUE_1,2004,CF,0
AQUE_1,2004,CG,0
AQUE_1,2004,CO,0
AQUE_1,2004,COF,0
AQUE_1,2004,CP,0
AQUE_1,2004,CRYP,0
AQUE_1,2004,CYOS,1.2705
AQUE_1,2004,CZ,0
AQUE_1,2004,DL,159.8625
AQUE_1,2004,DP,0
AQUE_1,2004,DU,0
AQUE_1,2004,EA,0
AQUE_1,2004,EC,3.7125
AQUE_1,2004,EGME,0
AQUE_1,2004,ER,0.4125
AQUE_1,2004,FB,0
AQUE_1,2004,FG,0
AQUE_1,2004,FR,1
AQUE_1,2004,FTHR,0
AQUE_1,2004,GR,0
AQUE_1,2004,GS,2.8125
