"site","subsite","lat","lon","radius","chla_temporal_sd","lst_temporal_sd","ndvi_temporal_sd","sst_temporal_sd","bathymetry_spatial_sd_slope_60km","elevation_spatial_sd_slope_60km"
"HFR",NA,42.5107542540033,-72.1935525797204,1,NA,0.991218233733397,0.534818352514602,NA,1.25903160871507,1.26361694247336
"JRN",NA,32.4745221213469,-106.755319774119,1,NA,1.26052478048531,4.17371383176195,NA,2.75315830234623,2.75160167835997
"JRN",NA,32.5298261565335,-106.874332411494,1,NA,1.26052478048531,4.17371383176195,NA,2.75315830234623,2.75160167835997
"JRN",NA,32.6505437563199,-106.693195662637,1,NA,1.26052478048531,4.17371383176195,NA,2.75315830234623,2.75160167835997
"KBS",NA,42.4056646012824,-85.3826435030377,1,NA,1.03125040159288,2.04276821652838,NA,0.343479628309419,0.329256770177852
"KCDNRP","king_county_dnr",47.5535,-122.1887,1,NA,0.768389545554235,2.39929326530547,NA,4.99652754818248,4.91419365516126
"KNZ",NA,39.092577663266,-96.5750647884653,1,NA,1.21325062993101,3.6106070265999,NA,0.305069117227496,0.30857828495442
"LUQ",NA,18.2948996526252,-65.7895432024314,1,NA,0.4757650593769,3.10996059991011,NA,13.6509789382096,0.108631541086694
"MCM",NA,-77.6306496379474,162.486703437693,1,NA,0.726729618691163,NA,NA,8.6405538336263,NA
"MCR",NA,-17.5243110800771,-149.836775669862,1,NA,0.276755676547361,0.596252964157802,0.921970941985043,19.2087491065217,1.65640372194884
"NTL","allequash_lake",46.038,-89.621,1,NA,1.47727997805938,2.0476975309456,NA,0.413006382093683,0.337465638393218
"NTL","big_muskellunge_lake",46.021,-89.612,1,NA,1.50893718674556,4.29328681342594,NA,0.392417244397263,0.350898837424442
"NTL","crystal_bog",46.008,-89.606,1,NA,1.51180461254838,2.02068300523066,NA,0.341395077860658,0.310657112226796
"NTL","crystal_lake",46.003,-89.612,1,NA,1.47944693436151,2.09911199914395,NA,0.336880429633857,0.31609064691191
"NTL","fish_lake",43.287,-89.652,1,NA,1.56310427226984,3.30216355414424,NA,0.282848324931591,0.226476776829864
"NTL","lake_mendota",43.099,-89.405,1,NA,1.18645328821847,12.8719375224272,NA,0.420338683903114,0.499107390790506
"NTL","lake_monona",43.063,-89.361,1,NA,1.17691360037206,6.1122308804763,NA,0.446348338433794,0.451193880540301
"NTL","lake_wingra",43.053,-89.425,1,NA,1.45875848550194,3.0712075691702,NA,0.323802351489098,0.341025713531691
"NTL","northern_lakes_no_bogs_centroid",46.03119,-89.48587,1,NA,1.61200198563298,3.74600773600915,NA,0.433533917411431,0.377831469604296
"NTL","northern_lakes_with_bogs_centroid",46.02886,-89.57467,1,NA,1.5324122522142,1.72581565629875,NA,0.41355892431135,0.348099068443886
"NTL","sparkling_lake",46.008,-89.701,1,NA,1.34358288749076,1.3428640001676,NA,0.373212701661534,0.321345121565564
"NTL","trout_bog",46.041,-89.686,1,NA,1.51416198900033,4.32390758453296,NA,0.304096528949529,0.308756748105841
"NTL","trout_lake",46.029,-89.665,1,NA,1.55839704534407,9.51347874461853,NA,0.349722876649826,0.371279413416879
"NTL",NA,43.1005984166008,-89.4,1,NA,1.88761405536769,33.9615558242548,NA,0.400803571666078,0.396701097152963
"NTL",NA,46.0015944691635,-89.6,1,NA,1.88761405536769,33.9615558242548,NA,0.400803571666078,0.396701097152963
"NWT",NA,40.0479979650126,-105.569243774741,1,NA,1.31563120465112,1.82283352182492,NA,8.88156742504687,8.73745980484377
"PAL",NA,-65.5429113836646,-67.6929842653985,1,0.468561987530453,NA,NA,0.837157817036838,2.26298436205115,NA
"PIE",NA,42.6609181667391,-70.965911506432,1,NA,1.01315450487621,1.0517619145836,NA,1.1334406722061,0.550108660982072
"SBC","ABUR",34.400275,-119.7445915,1,3.69452275177895,1.05722870978782,3.02280253099957,1.1367353922909,10.6843925549303,8.74644467630658
"SBC","AHND",34.471817,-120.1426165,1,1.62947125759084,1.52125157766366,6.00653950360909,2.36013885297016,6.54307221848533,5.00438665980395
"SBC","AQUE",34.46774988,-120.11905,1,0.926013472792137,1.36150122886696,5.76667972655888,2.4603824366496,7.01463290060927,5.18495770784457
"SBC","BULL",34.45850533,-120.33349,1,1.65640520396578,1.74806661367027,6.95208953933654,0.976905624637626,6.32969034701816,3.27482213348858
